"projectID";"legalBasis";"title";"uniqueProgrammePart"
"101063393";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101062468";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101066082";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101059639";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101059639";"HORIZON.2.6.7";"Circular Systems";""
"101069505";"HORIZON.2.5.9";"Energy Storage";""
"101069505";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101062082";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101072632";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101046651";"HORIZON.3.1.1";"The Pathfinder for Advanced Research";""
"101046651";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101062518";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101079151";"HORIZON.4.1.2";"Twinning";""
"101079151";"HORIZON.4.1";"Widening participation and spreading excellence";"true"
"101065263";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101060452";"HORIZON.2.6.4";"Seas, Oceans and Inland Waters";""
"101060452";"HORIZON.2.6";"Food, Bioeconomy Natural Resources, Agriculture and Environment";"true"
"101047131";"HORIZON.3.1.1";"The Pathfinder for Advanced Research";""
"101047131";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101079299";"HORIZON.4.1.2";"Twinning";""
"101079299";"HORIZON.4.1";"Widening participation and spreading excellence";"true"
"101070740";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101063363";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101065838";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101058784";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101058784";"HORIZON.2.4.4";"Advanced Materials";""
"101075626";"HORIZON.2.5.2";"Energy Supply";""
"101075626";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101063193";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101046927";"HORIZON.3.1.1";"The Pathfinder for Advanced Research";""
"101046927";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
